projectDescriptionID,trapVisitID,siteName,subSiteName,visitTime,visitTime2,visitType,fishProcessed,trapFunctioning,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,includeCatch,discharge,waterVel,waterTemp,turbidity
10,2,Tisdale Weir RST,RL,2015-01-15T07:45:34Z,2015-01-15T07:45:34Z,Continue trapping,Processed fish,Trap functioning normally,2766,2.90000009536743,2.79999995231628,Yes,NA,2.04999995231628,48,20.3500003814697
10,3,Tisdale Weir RST,RL,2015-01-15T15:30:34Z,2015-01-15T15:30:34Z,Continue trapping,Processed fish,Trap functioning normally,1232,2.90000009536743,2.79999995231628,Yes,NA,1.70000004768372,49,18.7000007629395
10,4,Tisdale Weir RST,RL,2015-01-16T07:30:34Z,2015-01-16T07:30:34Z,Continue trapping,Processed fish,Trap functioning normally,2652,2.70000004768372,2.79999995231628,Yes,NA,1.70000004768372,47,17.0499992370605
10,5,Tisdale Weir RST,RL,2015-01-16T15:30:34Z,2015-01-16T15:30:34Z,Continue trapping,Processed fish,Trap functioning normally,1279,2.79999995231628,2.79999995231628,Yes,NA,1.70000004768372,48,16.1499996185303
10,6,Tisdale Weir RST,RL,2015-01-17T08:00:34Z,2015-01-17T08:00:34Z,Continue trapping,Processed fish,Trap functioning normally,2834,2.5,2.79999995231628,Yes,NA,2.08999991416931,48,21.25
10,7,Tisdale Weir RST,RL,2015-01-17T15:30:34Z,2015-01-17T15:30:34Z,Continue trapping,Processed fish,Trap functioning normally,1011,2.5,2.70000004768372,Yes,NA,1.85000002384186,48,23
10,8,Tisdale Weir RST,RL,2015-01-18T08:15:34Z,2015-01-18T08:15:34Z,Continue trapping,Processed fish,Trap functioning normally,2701,2.40000009536743,2.59999990463257,Yes,NA,1.79999995231628,48,17.7999992370605
10,9,Tisdale Weir RST,RL,2015-01-18T15:30:34Z,2015-01-18T15:30:34Z,Continue trapping,Processed fish,Trap functioning normally,996,3,2.40000009536743,Yes,NA,1.45000004768372,48,26.6499996185303
10,10,Tisdale Weir RST,RL,2015-01-19T07:15:34Z,2015-01-19T07:15:34Z,Continue trapping,Processed fish,Trap functioning normally,2608,2.5,2.70000004768372,Yes,NA,1.39999997615814,48,23.0499992370605
10,11,Tisdale Weir RST,RL,2015-01-19T16:15:34Z,2015-01-19T16:15:34Z,Continue trapping,Processed fish,Trap functioning normally,1462,2.59999990463257,2.70000004768372,Yes,NA,1.35000002384186,50,18.3500003814697
10,12,Tisdale Weir RST,RL,2015-01-20T07:30:34Z,2015-01-20T07:30:34Z,Continue trapping,Processed fish,Trap functioning normally,2500,2.70000004768372,2.70000004768372,Yes,NA,1.39999997615814,49,18.3999996185303
10,13,Tisdale Weir RST,RL,2015-01-20T15:30:34Z,2015-01-20T15:30:34Z,Continue trapping,No fish were caught,Trap functioning normally,1251,2.59999990463257,2.79999995231628,Yes,NA,1.39999997615814,51,17.9500007629395
10,15,Tisdale Weir RST,RL,2015-01-21T08:00:34Z,2015-01-21T08:00:34Z,Continue trapping,No fish were caught,Trap functioning normally,2539,2.70000004768372,2.5,Yes,NA,1.64999997615814,51.7999992370605,17.9500007629395
10,16,Tisdale Weir RST,RL,2015-01-21T15:30:34Z,2015-01-21T15:30:34Z,Continue trapping,Processed fish,Trap functioning normally,1071,2.59999990463257,2.29999995231628,Yes,NA,1.75,50,19.75
10,17,Tisdale Weir RST,RL,2015-01-22T08:00:34Z,2015-01-22T08:00:34Z,Continue trapping,Processed fish,Trap functioning normally,2335,2.29999995231628,2.29999995231628,Yes,NA,1.75,49,15.3500003814697
10,18,Tisdale Weir RST,RL,2015-01-22T15:15:34Z,2015-01-22T15:15:34Z,Continue trapping,No fish were caught,Trap functioning normally,1035,2.70000004768372,2.40000009536743,Yes,NA,1.75,50,17.8500003814697
10,19,Tisdale Weir RST,RL,2015-01-23T07:45:34Z,2015-01-23T07:45:34Z,Continue trapping,Processed fish,Trap functioning normally,2510,2.29999995231628,2.40000009536743,Yes,NA,1.75,50,17.25
10,20,Tisdale Weir RST,RL,2015-01-23T15:30:34Z,2015-01-23T15:30:34Z,Continue trapping,No fish were caught,Trap functioning normally,1112,2.40000009536743,2.5,Yes,NA,1.70000004768372,51.7999992370605,16.2999992370605
10,21,Tisdale Weir RST,RL,2015-01-24T07:30:34Z,2015-01-24T07:30:34Z,Continue trapping,Processed fish,Trap functioning normally,2331,2.40000009536743,2.70000004768372,Yes,NA,1.70000004768372,50,14.5500001907349
10,22,Tisdale Weir RST,RL,2015-01-24T15:30:34Z,2015-01-24T15:30:34Z,Continue trapping,No fish were caught,Trap functioning normally,934,2.5,2.20000004768372,Yes,NA,1.70000004768372,53.5999984741211,15.8000001907349
10,23,Tisdale Weir RST,RL,2015-01-25T09:00:34Z,2015-01-25T09:00:34Z,Continue trapping,Processed fish,Trap functioning normally,2408,2.29999995231628,2.09999990463257,Yes,NA,1.75,48,14.1499996185303
10,24,Tisdale Weir RST,RL,2015-01-25T15:15:34Z,2015-01-25T15:15:34Z,Continue trapping,Processed fish,Trap functioning normally,766,1.70000004768372,1.79999995231628,Yes,NA,1.75,50,15.9499998092651
10,25,Tisdale Weir RST,RL,2015-01-26T07:30:34Z,2015-01-26T07:30:34Z,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,2.40000009536743,Yes,NA,1.60000002384186,51.7999992370605,16.2999992370605
10,26,Tisdale Weir RST,RL,2015-01-26T15:30:34Z,2015-01-26T15:30:34Z,Continue trapping,Processed fish,Trap functioning normally,1186,2.29999995231628,2.29999995231628,Yes,NA,1.70000004768372,53.5999984741211,28.5499992370605
10,27,Tisdale Weir RST,RL,2015-01-27T07:30:34Z,2015-01-27T07:30:34Z,Continue trapping,Processed fish,Trap functioning normally,2195,2.20000004768372,2.20000004768372,Yes,NA,2,49,17.7999992370605
10,28,Tisdale Weir RST,RL,2015-01-27T16:00:34Z,2015-01-27T16:00:34Z,Continue trapping,Processed fish,Trap functioning normally,1146,2.40000009536743,2.40000009536743,Yes,NA,1.79999995231628,50,14.3500003814697
10,29,Tisdale Weir RST,RL,2015-01-28T09:30:34Z,2015-01-28T09:30:34Z,Continue trapping,Processed fish,Trap functioning normally,2348,2.70000004768372,2.70000004768372,Yes,NA,1.89999997615814,49,14.3999996185303
10,30,Tisdale Weir RST,RL,2015-01-28T16:00:34Z,2015-01-28T16:00:34Z,Continue trapping,Processed fish,Trap functioning normally,944,2.29999995231628,2.5,Yes,NA,1.85000002384186,51,15.5500001907349
10,31,Tisdale Weir RST,RL,2015-01-29T09:30:34Z,2015-01-29T09:30:34Z,Continue trapping,Processed fish,Trap functioning normally,2276,2.40000009536743,2.40000009536743,Yes,NA,1.60000002384186,50,16.1000003814697
10,32,Tisdale Weir RST,RL,2015-01-29T15:15:34Z,2015-01-29T15:15:34Z,Continue trapping,Processed fish,Trap functioning normally,766,2.09999990463257,2.29999995231628,Yes,NA,1.60000002384186,51,13.3999996185303
10,33,Tisdale Weir RST,RL,2015-01-30T07:30:34Z,2015-01-30T07:30:34Z,Continue trapping,Processed fish,Trap functioning normally,2228,2,2.20000004768372,Yes,NA,1.70000004768372,51.7999992370605,12.6999998092651
10,34,Tisdale Weir RST,RL,2015-01-30T15:30:34Z,2015-01-30T15:30:34Z,Continue trapping,No fish were caught,Trap functioning normally,1086,2.70000004768372,2.5,Yes,NA,1.64999997615814,53.5999984741211,10.25
10,35,Tisdale Weir RST,RL,2015-01-31T07:15:34Z,2015-01-31T07:15:34Z,Continue trapping,No fish were caught,Trap functioning normally,2241,2.59999990463257,2.59999990463257,Yes,NA,1.85000002384186,50,10.1000003814697
10,38,Tisdale Weir RST,RL,2015-01-31T15:30:34Z,2015-01-31T15:30:34Z,Continue trapping,No fish were caught,Trap functioning normally,1208,2.5,2.5,Yes,NA,1.89999997615814,53.5999984741211,11.3999996185303
10,40,Tisdale Weir RST,RL,2014-12-01T07:30:34Z,2014-12-01T07:30:34Z,Continue trapping,Processed fish,Trap functioning normally,2599,2.79999995231628,2.90000009536743,Yes,NA,2.15000009536743,53.5999984741211,8.9399995803833
10,41,Tisdale Weir RST,RL,2014-12-01T16:00:34Z,2014-12-01T16:00:34Z,Unplanned restart,No fish were caught,Trap stopped functioning,494,0,3.09999990463257,Yes,NA,2.34999990463257,54,9.26000022888184
10,42,Tisdale Weir RST,RL,2014-12-02T07:45:34Z,2014-12-02T07:45:34Z,Continue trapping,Processed fish,Trap functioning normally,3091,3.09999990463257,3.09999990463257,Yes,NA,2.54999995231628,52,18.7000007629395
10,44,Tisdale Weir RST,RL,2014-12-02T16:30:34Z,2014-12-02T16:30:34Z,Unplanned restart,No fish were caught,Trap stopped functioning,67,0,2.79999995231628,Yes,NA,2.65000009536743,55.4000015258789,13.75
10,45,Tisdale Weir RST,RL,2014-12-03T08:15:34Z,2014-12-03T08:15:34Z,Continue trapping,No fish were caught,Trap functioning normally,NA,2.59999990463257,2.59999990463257,Yes,NA,2.34999990463257,53.5999984741211,19.1000003814697
10,46,Tisdale Weir RST,RL,2014-12-03T15:00:34Z,2014-12-03T15:00:34Z,End trapping,No fish were caught,"Trap functioning, but not normally",1655,2.70000004768372,2.79999995231628,Yes,NA,2.40000009536743,53,19.7999992370605
10,47,Tisdale Weir RST,RL,2014-12-04T15:30:34Z,2014-12-04T15:30:34Z,End trapping,Processed fish,Trap functioning normally,910,2.5,NA,Yes,NA,2.04999995231628,60.7999992370605,21.1499996185303
10,50,Tisdale Weir RST,RL,2014-12-04T08:15:34Z,2014-12-04T08:15:34Z,Start trap & begin trapping,N/A; not a sampling visit,Trap not in service,NA,NA,NA,Yes,NA,NA,NA,NA
10,51,Tisdale Weir RST,RL,2014-12-31T15:30:34Z,2014-12-31T15:30:34Z,Continue trapping,Processed fish,Trap functioning normally,1256,2.5,2.5,Yes,NA,2.29999995231628,44.5999984741211,43.4000015258789
10,52,Tisdale Weir RST,RL,2014-12-31T07:30:34Z,2014-12-31T07:30:34Z,Continue trapping,Processed fish,Trap functioning normally,2922,2.79999995231628,2.5,Yes,NA,1.85000002384186,42,36.7000007629395
10,53,Tisdale Weir RST,RL,2014-12-30T15:30:34Z,2014-12-30T15:30:34Z,Continue trapping,Processed fish,Trap functioning normally,2164,3,3.09999990463257,Yes,NA,2.09999990463257,46.4000015258789,33.9000015258789
10,54,Tisdale Weir RST,RL,2014-12-30T07:45:34Z,2014-12-30T07:45:34Z,Continue trapping,Processed fish,Trap functioning normally,2841,3.09999990463257,3.09999990463257,Yes,NA,1.89999997615814,44,30.6000003814697
10,55,Tisdale Weir RST,RL,2014-12-29T15:30:34Z,2014-12-29T15:30:34Z,Continue trapping,Processed fish,Trap functioning normally,1410,3,2.90000009536743,Yes,NA,2.20000004768372,45,31.5
10,56,Tisdale Weir RST,RL,2014-12-29T07:30:34Z,2014-12-29T07:30:34Z,Continue trapping,Processed fish,Trap functioning normally,2605,2.90000009536743,3.20000004768372,Yes,NA,1.60000002384186,45,31.3999996185303
10,57,Tisdale Weir RST,RL,2014-12-28T07:30:34Z,2014-12-28T07:30:34Z,Continue trapping,Processed fish,Trap functioning normally,2848,3.09999990463257,3,Yes,NA,1.75,48.2000007629395,31.3999996185303
10,58,Tisdale Weir RST,RL,2014-12-28T15:30:34Z,2014-12-28T15:30:34Z,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,2.59999990463257,Yes,NA,1.29999995231628,46,34.2999992370605
10,59,Tisdale Weir RST,RL,2014-12-27T15:15:34Z,2014-12-27T15:15:34Z,Continue trapping,Processed fish,Trap functioning normally,1169,2.90000009536743,3.09999990463257,Yes,NA,1.89999997615814,48,35.7000007629395
10,60,Tisdale Weir RST,RL,2014-12-27T07:45:34Z,2014-12-27T07:45:34Z,Continue trapping,Processed fish,Trap functioning normally,3049,3.20000004768372,2.59999990463257,Yes,NA,2.09999990463257,46,32.2000007629395
10,61,Tisdale Weir RST,RL,2014-12-26T16:00:34Z,2014-12-26T16:00:34Z,Continue trapping,Processed fish,Trap functioning normally,1881,3.40000009536743,3.20000004768372,Yes,NA,2.5,51.7999992370605,30.2000007629395
10,63,Tisdale Weir RST,RL,2014-12-24T15:30:34Z,2014-12-24T15:30:34Z,End trapping,Processed fish,Trap functioning normally,502,2.29999995231628,3.09999990463257,Yes,NA,1.10000002384186,53.5999984741211,57.7999992370605
10,64,Tisdale Weir RST,RL,2014-12-24T07:30:34Z,2014-12-24T07:30:34Z,Continue trapping,Processed fish,Trap functioning normally,1797,1.89999997615814,1.79999995231628,Yes,NA,1.60000002384186,52,61.2000007629395
10,66,Tisdale Weir RST,RR,2015-01-15T07:45:21Z,2015-01-15T07:45:21Z,Continue trapping,Processed fish,Trap functioning normally,2875,3.09999990463257,3.09999990463257,Yes,NA,2.40000009536743,48,20.3500003814697
10,67,Tisdale Weir RST,RR,2015-01-15T15:30:21Z,2015-01-15T15:30:21Z,Continue trapping,No fish were caught,Trap functioning normally,NA,3.20000004768372,3.29999995231628,Yes,NA,2,49,18.7000007629395
10,68,Tisdale Weir RST,RR,2015-01-16T07:30:21Z,2015-01-16T07:30:21Z,Continue trapping,Processed fish,Trap functioning normally,2947,2.90000009536743,3.20000004768372,Yes,NA,1.95000004768372,47,17.0499992370605
10,69,Tisdale Weir RST,RR,2015-01-16T15:30:21Z,2015-01-16T15:30:21Z,Continue trapping,No fish were caught,Trap functioning normally,1517,3.29999995231628,3.29999995231628,Yes,NA,2,48,16.1499996185303
10,70,Tisdale Weir RST,RR,2015-01-17T08:00:21Z,2015-01-17T08:00:21Z,Continue trapping,Processed fish,Trap functioning normally,3320,3.09999990463257,3.20000004768372,Yes,NA,2.79999995231628,48,21.25
10,71,Tisdale Weir RST,RR,2015-01-17T15:30:21Z,2015-01-17T15:30:21Z,Continue trapping,No fish were caught,Trap functioning normally,1171,3.09999990463257,3.40000009536743,Yes,NA,2.29999995231628,48,23
10,72,Tisdale Weir RST,RR,2015-01-18T08:15:21Z,2015-01-18T08:15:21Z,Continue trapping,Processed fish,Trap functioning normally,3127,2.90000009536743,2.79999995231628,Yes,NA,2.29999995231628,48,17.7999992370605
10,73,Tisdale Weir RST,RR,2015-01-18T15:30:21Z,2015-01-18T15:30:21Z,Continue trapping,Processed fish,Trap functioning normally,1160,3.20000004768372,3.20000004768372,Yes,NA,2.20000004768372,48,26.6499996185303
10,74,Tisdale Weir RST,RR,2015-01-19T07:15:21Z,2015-01-19T07:15:21Z,Continue trapping,Processed fish,Trap functioning normally,3075,3.09999990463257,3.09999990463257,Yes,NA,1.79999995231628,48,23.0499992370605
10,75,Tisdale Weir RST,RR,2015-01-19T16:15:21Z,2015-01-19T16:15:21Z,Continue trapping,No fish were caught,Trap functioning normally,1708,3,3.09999990463257,Yes,NA,2.15000009536743,50,18.3500003814697
10,76,Tisdale Weir RST,RR,2015-01-20T07:30:21Z,2015-01-20T07:30:21Z,Continue trapping,Processed fish,Trap functioning normally,2928,3.20000004768372,3.20000004768372,Yes,NA,2,49,18.3999996185303
10,77,Tisdale Weir RST,RR,2015-01-20T15:30:21Z,2015-01-20T15:30:21Z,Continue trapping,Processed fish,Trap functioning normally,1514,3,3,Yes,NA,1.70000004768372,51,17.9500007629395
10,78,Tisdale Weir RST,RR,2015-01-21T08:00:21Z,2015-01-21T08:00:21Z,Continue trapping,Processed fish,Trap functioning normally,2995,3,3.09999990463257,Yes,NA,1.95000004768372,51.7999992370605,17.9500007629395
10,79,Tisdale Weir RST,RR,2015-01-21T15:30:21Z,2015-01-21T15:30:21Z,Continue trapping,Processed fish,"Trap functioning, but not normally",NA,3.20000004768372,2.90000009536743,Yes,NA,2.15000009536743,50,19.75
10,80,Tisdale Weir RST,RR,2015-01-22T08:00:21Z,2015-01-22T08:00:21Z,Continue trapping,Processed fish,Trap functioning normally,2855,3,3,Yes,NA,2.15000009536743,49,15.3500003814697
10,81,Tisdale Weir RST,RR,2015-01-22T15:15:21Z,2015-01-22T15:15:21Z,Continue trapping,No fish were caught,Trap functioning normally,1298,3,3.09999990463257,Yes,NA,2.25,50,17.8500003814697
10,82,Tisdale Weir RST,RR,2015-01-23T07:45:21Z,2015-01-23T07:45:21Z,Continue trapping,Processed fish,Trap functioning normally,2965,2.79999995231628,2.79999995231628,Yes,NA,2.65000009536743,50,17.25
